1-01-04-001  Documentos en Cartera;1-01-04-001;Documentos en Cartera;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-002  Facturas Por Cobrar;1-01-04-002;Facturas Por Cobrar;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-003  Proyectos por Cobrar IND 2014;1-01-04-003;Proyectos por Cobrar IND 2014;Activo Corriente;FISCALES;Activo Circulante;Cuentas por cobrar
1-01-04-004  Proyectos por Cobrar COCH;1-01-04-004;Proyectos por Cobrar COCH;Activo Corriente;FISCALES;Activo Circulante;Cuentas por cobrar
1-01-04-005  Certificados de Donaciones por Cobrar;1-01-04-005;Certificados de Donaciones por Cobrar;Activo Corriente;FISCALES;Activo Circulante;Cuentas por cobrar
1-01-04-006  Fondos por Rendir Federaciones;1-01-04-006;Fondos por Rendir Federaciones;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-007  Otros Fondos a Rendir;1-01-04-007;Otros Fondos a Rendir;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-008  Anticipo Trabajadores;1-01-04-008;Anticipo Trabajadores;Activo Corriente;FISCALES;Activo Circulante;Cuentas por cobrar
1-01-04-009  Otras Cuentas por Cobrar;1-01-04-009;Otras Cuentas por Cobrar;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-010  Deudores Varios;1-01-04-010;Deudores Varios;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-011  Proyectos por  Cobrar  IND;1-01-04-011;Proyectos por  Cobrar  IND;Activo Corriente;FISCALES;Activo Circulante;Cuentas por cobrar
1-01-04-012  Cuota Socio Team Chile;1-01-04-012;Cuota Socio Team Chile;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-013  Anticipo Proveedores;1-01-04-013;Anticipo Proveedores;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-014  Cuenta por Cobrar COCH;1-01-04-014;Cuenta por Cobrar COCH;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-015  Boleta de Garantia;1-01-04-015;Boleta de Garantia;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-04-020  Boletas sin Auxiliar - SOFTLAND;1-01-04-020;Boletas sin Auxiliar - SOFTLAND;Activo Corriente;PROPIOS;Activo Circulante;Cuentas por cobrar
1-01-05-000  IMPUESTOS A RECUPERAR;1-01-05-000;IMPUESTOS A RECUPERAR;;;;
1-01-05-001  Iva Credito Fiscal;1-01-05-001;Iva Credito Fiscal;Activo Corriente;PROPIOS;Activo Circulante;Impuestos a recuperar
1-01-05-002  Pagos Provisionales Mensuales;1-01-05-002;Pagos Provisionales Mensuales;Activo Corriente;PROPIOS;Activo Circulante;Impuestos a recuperar
1-01-05-003  Impuesto Diferido a corto Plazo;1-01-05-003;Impuesto Diferido a corto Plazo;Activo Corriente;PROPIOS;Activo Circulante;Impuestos a recuperar
1-01-05-004  Credito Sence;1-01-05-004;Credito Sence;Activo Corriente;PROPIOS;Activo Circulante;Impuestos a recuperar
1-02-00-000  ACTIVO NO CORRIENTE;1-02-00-000;ACTIVO NO CORRIENTE;;;;
1-02-01-000  EQUIPAMIENTO OFICINAS;1-02-01-000;EQUIPAMIENTO OFICINAS;;;;
1-02-01-001  Equipos de Oficina;1-02-01-001;Equipos de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-002  Utiles de Oficina;1-02-01-002;Utiles de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-003  Muebles de Oficina;1-02-01-003;Muebles de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-004  Depreciacion Acumulada de Equipo de Oficina;1-02-01-004;Depreciacion Acumulada de Equipo de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-005  Depreciacion Acumulada de Utiles de Oficina;1-02-01-005;Depreciacion Acumulada de Utiles de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-006  Depreciacion Acumulada de Muebles de Oficina;1-02-01-006;Depreciacion Acumulada de Muebles de Oficina;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-007  Implementacion Deportiva;1-02-01-007;Implementacion Deportiva;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
1-02-01-008  Depreciacion Acumulada Implementacion Deportiva;1-02-01-008;Depreciacion Acumulada Implementacion Deportiva;Activo no Corriente;;Activo Fijo;Equipamiento Oficinas
2-00-00-000  PASIVO;2-00-00-000;PASIVO;;;;
2-01-00-000  PASIVO CORRIENTE;2-01-00-000;PASIVO CORRIENTE;;;;
2-01-01-000  CUENTAS POR PAGAR;2-01-01-000;CUENTAS POR PAGAR;;;;
2-01-01-001  Creditos por Pagar;2-01-01-001;Creditos por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-002  Documentos por Pagar;2-01-01-002;Documentos por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-003  Proveedores;2-01-01-003;Proveedores;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-004  viaticos por Pagar;2-01-01-004;viaticos por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-005  Otras Cuentas por Pagar;2-01-01-005;Otras Cuentas por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-006  Proveedor Extranjero;2-01-01-006;Proveedor Extranjero;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-01-007  Cuenta por Pagar COCH;2-01-01-007;Cuenta por Pagar COCH;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas por pagar
2-01-02-000  OBLIGACIONES DE ACTIVIDADES DEPORTIVAS;2-01-02-000;OBLIGACIONES DE ACTIVIDADES DEPORTIVAS;;;;
2-01-02-001  Viaticos por Pagar Proyectos;2-01-02-001;Viaticos por Pagar Proyectos;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-02-002  Honorarios por Pagar Proyectos;2-01-02-002;Honorarios por Pagar Proyectos;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-02-003  Facturas por Pagar Proyectos;2-01-02-003;Facturas por Pagar Proyectos;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-02-004  Asignaciones por Pagar;2-01-02-004;Asignaciones por Pagar;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-02-005  Remuneraciones por Pagar;2-01-02-005;Remuneraciones por Pagar;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-02-009  Becas ADO por Pagar;2-01-02-009;Becas ADO por Pagar;Pasivos Corrientes;FISCALES;Pasivo Circulante;Obligaciones actividades deportivas
2-01-03-000  REMUNERACIONES POR PAGAR;2-01-03-000;REMUNERACIONES POR PAGAR;;;;
2-01-03-001  Sueldos por Pagar;2-01-03-001;Sueldos por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Remuneraciones por pagar
2-01-03-002  Honorarios por Pagar;2-01-03-002;Honorarios por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Remuneraciones por pagar
2-01-04-000  LEYES SOCIALES;2-01-04-000;LEYES SOCIALES;;;;
2-01-04-001  Administradoras de Fondos de Pensiones;2-01-04-001;Administradoras de Fondos de Pensiones;Pasivos Corrientes;FISCALES;Pasivo Circulante;Leyes sociales
2-01-04-002  Isapres;2-01-04-002;Isapres;Pasivos Corrientes;FISCALES;Pasivo Circulante;Leyes sociales
2-01-04-003  Fondo Nacional de Salud;2-01-04-003;Fondo Nacional de Salud;Pasivos Corrientes;FISCALES;Pasivo Circulante;Leyes sociales
2-01-04-004  Asociacin Chilena de Seguridad;2-01-04-004;Asociacin Chilena de Seguridad;Pasivos Corrientes;FISCALES;Pasivo Circulante;Leyes sociales
2-01-04-005  Caja Compensacin Los Andes;2-01-04-005;Caja Compensacin Los Andes;Pasivos Corrientes;FISCALES;Pasivo Circulante;Leyes sociales
2-01-05-000  IMPUESTOS POR PAGAR;2-01-05-000;IMPUESTOS POR PAGAR;;;;
2-01-05-001  Iva Dbito Fiscal;2-01-05-001;Iva Dbito Fiscal;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Impuestos por pagar
2-01-05-002  Impuesto de Segunda Categora;2-01-05-002;Impuesto de Segunda Categora;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Impuestos por pagar
2-01-05-003  Impuesto Unico Trabajadores;2-01-05-003;Impuesto Unico Trabajadores;Pasivos Corrientes;FISCALES;Pasivo Circulante;Impuestos por pagar
2-01-05-004  Impuesto  Segunda Categora  a Extranjeros;2-01-05-004;Impuesto  Segunda Categora  a Extranjeros;Pasivos Corrientes;FISCALES;Pasivo Circulante;Impuestos por pagar
2-01-05-005  Impuesto  Renta;2-01-05-005;Impuesto  Renta;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Impuestos por pagar
2-01-06-000  PROVISIONES;2-01-06-000;PROVISIONES;;;;
2-01-06-001  Provisin Vacaciones;2-01-06-001;Provisin Vacaciones;Pasivos Corrientes;;Pasivo Circulante;Provisiones
2-01-06-002  Provisin Indemnizacin Aos de Servicio;2-01-06-002;Provisin Indemnizacin Aos de Servicio;Pasivos Corrientes;;Pasivo Circulante;Provisiones
2-01-06-003  Provisin Cuentas Incobrables;2-01-06-003;Provisin Cuentas Incobrables;Pasivos Corrientes;;Pasivo Circulante;Provisiones
2-01-06-004  Otras Provisiones;2-01-06-004;Otras Provisiones;Pasivos Corrientes;;Pasivo Circulante;Provisiones
2-01-10-000  CUENTAS DE TRANSICION;2-01-10-000;CUENTAS DE TRANSICION;;;;
2-01-10-001  Retencion Impuesto Proyecto;2-01-10-001;Retencion Impuesto Proyecto;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-002  Facturas por Pagar;2-01-10-002;Facturas por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-003  Proveedores 2014;2-01-10-003;Proveedores 2014;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-004  Viaticos por Pagar;2-01-10-004;Viaticos por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-005  Honorarios por Pagar 2014;2-01-10-005;Honorarios por Pagar 2014;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-006  Facturas por Pagar;2-01-10-006;Facturas por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-007  Asignaciones por Pagar;2-01-10-007;Asignaciones por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-008  Remuneraciones por Pagar;2-01-10-008;Remuneraciones por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-01-10-009  Becas ADO por Pagar;2-01-10-009;Becas ADO por Pagar;Pasivos Corrientes;PROPIOS;Pasivo Circulante;Cuentas de transicion
2-02-00-000  PASIVO NO CORRIENTE;2-02-00-000;PASIVO NO CORRIENTE;;;;
2-02-01-000  OBLIGACIONES LARGO PLAZO;2-02-01-000;OBLIGACIONES LARGO PLAZO;;;;
2-02-01-001  Creditos a Largo Plazo;2-02-01-001;Creditos a Largo Plazo;Pasivos no corrientes;;Pasivo Largo Plazo;Obligaciones largo plazo
2-03-00-000  CONTROL Y GESTION DE PROYECTOS;2-03-00-000;CONTROL Y GESTION DE PROYECTOS;;;;
2-03-01-000  PROYECTOS FINANCIAMIENTO IND;2-03-01-000;PROYECTOS FINANCIAMIENTO IND;;;;
2-03-01-001  Remuneraciones IND;2-03-01-001;Remuneraciones IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-002  Honorarios IND;2-03-01-002;Honorarios IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-003  Viatico IND;2-03-01-003;Viatico IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-005  Pasajes IND;2-03-01-005;Pasajes IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-006  Materiales de Oficina IND;2-03-01-006;Materiales de Oficina IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-007  Alimentacin y alojamiento IND;2-03-01-007;Alimentacin y alojamiento IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-008  Publicidad e Impresos IND;2-03-01-008;Publicidad e Impresos IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-009  Implementacin IND;2-03-01-009;Implementacin IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-010  Gastos Generales IND;2-03-01-010;Gastos Generales IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-01-011  Fondos por Ejecutar IND;2-03-01-011;Fondos por Ejecutar IND;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento IND
2-03-02-000  PROYECTOS FINACIAMIENTO DONACIONES;2-03-02-000;PROYECTOS FINACIAMIENTO DONACIONES;;;;
2-03-02-001  Remuneraciones Donaciones;2-03-02-001;Remuneraciones Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-002  Honorarios Donaciones;2-03-02-002;Honorarios Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-003  Viaticos Donaciones;2-03-02-003;Viaticos Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-005  Pasajes Donaciones;2-03-02-005;Pasajes Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-006  Materiales de Oficina Donaciones;2-03-02-006;Materiales de Oficina Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-007  Alimentacin y Alojamiento Donaciones;2-03-02-007;Alimentacin y Alojamiento Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-008  Publicidad e Impresos Donaciones;2-03-02-008;Publicidad e Impresos Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-009  Implementacin Donaciones;2-03-02-009;Implementacin Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-010  Gastos Generales Donaciones;2-03-02-010;Gastos Generales Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
2-03-02-011  Fondos por Ejecutar Donaciones;2-03-02-011;Fondos por Ejecutar Donaciones;Pasivos no corrientes;FISCALES;Pasivo Largo Plazo;Proyectos financiamiento donaciones
3-00-00-000  CAPITAL SOCIAL CORPORATIVO;3-00-00-000;CAPITAL SOCIAL CORPORATIVO;;;;
3-01-00-000  CAPITAL SOCIAL;3-01-00-000;CAPITAL SOCIAL;;;;
3-01-01-000  CAPITAL SOCIAL;3-01-01-000;CAPITAL SOCIAL;;;;
3-01-01-001  Capital;3-01-01-001;Capital;Patrimonio;;Patrimonio;Capital
3-01-01-002  Cuota Social COCH;3-01-01-002;Cuota Social COCH;Patrimonio;;Patrimonio;Capital
3-01-01-003  Cuota Social IND;3-01-01-003;Cuota Social IND;Patrimonio;;Patrimonio;Capital
3-01-01-004  Revalorizacin Capital Propio;3-01-01-004;Revalorizacin Capital Propio;Patrimonio;;Patrimonio;Capital
3-01-01-005  Excedentes o Deficit Acumulados;3-01-01-005;Excedentes o Deficit Acumulados;Patrimonio;;Patrimonio;Capital
3-01-01-006  Resultado del Ejercicio;3-01-01-006;Resultado del Ejercicio;Patrimonio;;Patrimonio;Capital
3-01-01-007  Rendicion Cuota Ordinaria;3-01-01-007;Rendicion Cuota Ordinaria;Patrimonio;;Patrimonio;Capital
4-00-00-000  INGRESOS DE LA EXPLOTACION;4-00-00-000;INGRESOS DE LA EXPLOTACION;;;;
4-01-00-000  INGRESOS DE LA EXPLOTACION;4-01-00-000;INGRESOS DE LA EXPLOTACION;;;;
4-01-01-000  INGRESOS;4-01-01-000;INGRESOS;;;;
4-01-01-001  Ingresos por Auspicio;4-01-01-001;Ingresos por Auspicio;Ingresos;;Ingresos de explotacion;Ingresos
4-01-01-002  Otros Ingresos de la Explotacin;4-01-01-002;Otros Ingresos de la Explotacin;Ingresos;;Ingresos de explotacion;Ingresos
4-01-01-003  Correccion Monetaria;4-01-01-003;Correccion Monetaria;Ingresos;;Ingresos de explotacion;Ingresos
4-02-00-000  OTROS INGRESOS FUERA DE LA EXPLOTACION;4-02-00-000;OTROS INGRESOS FUERA DE LA EXPLOTACION;;;;
4-02-01-000  OTROS INGRESOS FUERA DELA EXPLOTACION;4-02-01-000;OTROS INGRESOS FUERA DELA EXPLOTACION;;;;
4-02-01-001  Intereses Ganados;4-02-01-001;Intereses Ganados;Ingresos;;Ingresos de explotacion;Otros ingresos fuera de explotacion
4-02-01-002  Diferencia de Cambio;4-02-01-002;Diferencia de Cambio;Ingresos;;Ingresos de explotacion;Otros ingresos fuera de explotacion
4-02-01-003  Correccion Monetaria;4-02-01-003;Correccion Monetaria;Ingresos;;Ingresos de explotacion;Otros ingresos fuera de explotacion
4-02-01-004  Otros Ingresos;4-02-01-004;Otros Ingresos;Ingresos;;Ingresos de explotacion;Otros ingresos fuera de explotacion
5-00-00-000  COSTOS DE LA EXPLOTACION;5-00-00-000;COSTOS DE LA EXPLOTACION;;;;
5-01-00-000  COSTOS DE LA EXPLOTACION;5-01-00-000;COSTOS DE LA EXPLOTACION;;;;
5-01-01-000  COSTOS ACTIVIDADES DEPORTIVAS;5-01-01-000;COSTOS ACTIVIDADES DEPORTIVAS;;;;
5-01-01-001  Remuneraciones FP;5-01-01-001;Remuneraciones FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-002  Honorarios FP;5-01-01-002;Honorarios FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-003  Viaticos FP;5-01-01-003;Viaticos FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-005  Pasajes FP;5-01-01-005;Pasajes FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-006  Materiales de Oficina FP;5-01-01-006;Materiales de Oficina FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-007  Alimentacin y Alojamiento FP;5-01-01-007;Alimentacin y Alojamiento FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-008  Publicidad e Impresos FP;5-01-01-008;Publicidad e Impresos FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-009  Implementacion FP;5-01-01-009;Implementacion FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-010  Gastos Generales FP;5-01-01-010;Gastos Generales FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-011  Fondos por Ejecutar FP;5-01-01-011;Fondos por Ejecutar FP;Egresos;;Costos de explotacion;Costos de actividades deportivas
5-01-01-014;5-01-01-014;;Egresos;;;
5-01-02-000  COSTOS PROYECTOS DEPORTIVOS TEAM CHILE;5-01-02-000;COSTOS PROYECTOS DEPORTIVOS TEAM CHILE;;;;
5-01-02-001  Remuneraciones TEAM CHILE;5-01-02-001;Remuneraciones TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-002  Honorarios TEAM CHILE;5-01-02-002;Honorarios TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-003  Viatico TEAM CHILE;5-01-02-003;Viatico TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-005  Pasajes TEAM CHILE;5-01-02-005;Pasajes TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-006  Materiales de Oficina TEAM CHILE;5-01-02-006;Materiales de Oficina TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-007  Alimentacion y Alojamiento TEAM CHILE;5-01-02-007;Alimentacion y Alojamiento TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-008  Publicidad e Impreso TEAM CHILE;5-01-02-008;Publicidad e Impreso TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-009  Implementacion TEAM CHILE;5-01-02-009;Implementacion TEAM CHILE;Egresos;;Costos de explotacion;
5-01-02-010  Gastos Generales TEAM CHILE;5-01-02-010;Gastos Generales TEAM CHILE;Egresos;;Costos de explotacion;
5-02-00-000  GASTOS OPERACIONALES;5-02-00-000;GASTOS OPERACIONALES;;;;
5-02-01-000  GASTOS OPERACIONALES CORPORACION;5-02-01-000;GASTOS OPERACIONALES CORPORACION;;;;
5-02-01-001  Gastos de Administracin;5-02-01-001;Gastos de Administracin;Egresos;;Costos de explotacion;
5-02-01-002  Gastos de Marketing;5-02-01-002;Gastos de Marketing;Egresos;;Costos de explotacion;
5-02-01-003  Gastos de Comunicaciones;5-02-01-003;Gastos de Comunicaciones;Egresos;;Costos de explotacion;
5-02-01-004  Gastos Financieros;5-02-01-004;Gastos Financieros;Egresos;;Costos de explotacion;
5-02-01-005  Gastos Generales;5-02-01-005;Gastos Generales;Egresos;;Costos de explotacion;
5-02-01-006  Gasto Proyecto Team Chile;5-02-01-006;Gasto Proyecto Team Chile;Egresos;;Costos de explotacion;
5-02-01-007  Cuentas Incobrables;5-02-01-007;Cuentas Incobrables;Egresos;;Costos de explotacion;
5-02-01-008  Depreciacion;5-02-01-008;Depreciacion;Egresos;;Costos de explotacion;
5-03-00-000  OTROS EGRESOS FUERA DE LA EXPLOTACION;5-03-00-000;OTROS EGRESOS FUERA DE LA EXPLOTACION;;;;
5-03-01-000  OTROS EGRESOS FUERA DE LA EXPLOTACION;5-03-01-000;OTROS EGRESOS FUERA DE LA EXPLOTACION;;;;
5-03-01-001  Interes Pagados;5-03-01-001;Interes Pagados;Egresos;;Otros egresos fuera de explotacion;
5-03-01-002  Multas Pagadas;5-03-01-002;Multas Pagadas;Egresos;;Otros egresos fuera de explotacion;
5-04-00-000  CORRECCION MONETARIO;5-04-00-000;CORRECCION MONETARIO;;;;
5-04-01-000  CORRECCION MONETARIA;5-04-01-000;CORRECCION MONETARIA;;;;
5-04-01-001  Correccion Monetaria;5-04-01-001;Correccion Monetaria;Egresos;;Otros egresos fuera de explotacion;
6-00-00-000  IMPUESTOS;6-00-00-000;IMPUESTOS;;;;
6-01-00-000  IMPUESTO RENTA;6-01-00-000;IMPUESTO RENTA;;;;
6-01-01-000  IMPUESTO A LA RENTA;6-01-01-000;IMPUESTO A LA RENTA;;;;
6-01-01-003  Impuesto a la Renta;6-01-01-003;Impuesto a la Renta;;;Otros egresos fuera de explotacion;
7-00-00-000  DERECHOS DE PROYECTOS DONACIONES COCH;7-00-00-000;DERECHOS DE PROYECTOS DONACIONES COCH;;;;
7-01-00-000  DERECHOS DE PROYECTOS DONACIONES COCH;7-01-00-000;DERECHOS DE PROYECTOS DONACIONES COCH;;;;
7-01-01-000  DERECHOS DE PROYECTOS DONACIONES COCH;7-01-01-000;DERECHOS DE PROYECTOS DONACIONES COCH;;;;
7-01-01-001  Derechos sobre Proyectos COCH;7-01-01-001;Derechos sobre Proyectos COCH;;;;
7-01-01-002  Derecho Proyecto IND COCH;7-01-01-002;Derecho Proyecto IND COCH;;;;
8-00-00-000  RESPONSABILIDAD DE PROYECTOS;8-00-00-000;RESPONSABILIDAD DE PROYECTOS;;;;
8-01-00-000  RESPONSABILIDAD DE PROYECTOS DONACIONES COCH;8-01-00-000;RESPONSABILIDAD DE PROYECTOS DONACIONES COCH;;;;
8-01-01-000  RESPONSABILIDAD DE PROYECTOS DONACIONES COCH;8-01-01-000;RESPONSABILIDAD DE PROYECTOS DONACIONES COCH;;;;
8-01-01-001  Remuneraciones Donaciones COCH;8-01-01-001;Remuneraciones Donaciones COCH;;;;
8-01-01-002  Honorarios  Donaciones COCH;8-01-01-002;Honorarios  Donaciones COCH;;;;
8-01-01-003  Viaticos  Donaciones COCH;8-01-01-003;Viaticos  Donaciones COCH;;;;
8-01-01-005  Pasajes Donaciones COCH;8-01-01-005;Pasajes Donaciones COCH;;;;
8-01-01-006  Materiales de Oficina  Donaciones COCH;8-01-01-006;Materiales de Oficina  Donaciones COCH;;;;
